"sales_month","sales_month_display","current_month_revenue","mom_growth_pct","avg_review_score","fulfillment_ratio_pct","canceled_revenue_loss","business_health_status","logistics_pressure_index"
2017-01-01,Jan 2017,137188.49,,4.06,93.75,245.03,Stable,3.30
2017-02-01,Feb 2017,286280.62,108.68,4.02,92.87,2718.93,Stable,3.58
2017-03-01,Mar 2017,432048.59,50.92,4.07,94.93,6430.63,Efficient Scaling,6.17
2017-04-01,Apr 2017,412422.24,-4.54,4.05,95.80,6573.63,Contraction,8.07
2017-05-01,May 2017,586190.95,42.13,4.14,95.84,3480.12,Efficient Scaling,4.13
2017-06-01,Jun 2017,502963.04,-14.20,4.15,96.61,3310.80,Contraction,4.07
2017-07-01,Jul 2017,584971.62,16.31,4.18,96.17,6217.89,Efficient Scaling,4.03
2017-08-01,Aug 2017,668204.60,14.23,4.24,96.81,6301.08,Efficient Scaling,3.52
2017-09-01,Sep 2017,720398.91,7.81,4.19,96.85,3296.19,Stable,5.73
2017-10-01,Oct 2017,769312.37,6.79,4.12,96.70,4556.34,Stable,5.78
2017-11-01,Nov 2017,1179143.77,53.27,3.91,96.62,6952.09,Toxic Growth,15.73
2017-12-01,Dec 2017,863547.23,-26.76,4.02,97.18,2020.46,Contraction,9.00
2018-01-01,Jan 2018,1107301.89,28.23,4.04,97.25,5381.88,Efficient Scaling,7.29
2018-02-01,Feb 2018,986908.96,-10.87,3.83,97.43,7422.80,Contraction,17.69
2018-03-01,Mar 2018,1155126.82,17.04,3.75,97.12,2469.83,Stable,22.83
2018-04-01,Apr 2018,1159698.04,0.40,4.16,97.97,3449.15,Efficient Scaling,5.41
2018-05-01,May 2018,1149781.82,-0.86,4.19,98.20,4095.36,Contraction,9.11
2018-06-01,Jun 2018,1022677.11,-11.05,4.28,98.90,2295.21,Contraction,1.53
2018-07-01,Jul 2018,1058728.03,3.53,4.26,97.89,18944.45,Stable,4.85
2018-08-01,Aug 2018,1003308.47,-5.23,4.26,97.53,6334.96,Contraction,11.45
