"sales_date","current_day_sale","current_day_freight","current_day_revenue","revenue_average_30d","revenue_volatility_30d"
2017-01-05,396.90,310.37,707.27,707.27,0.00
2017-01-06,916.38,71.90,988.28,847.78,198.70
2017-01-07,1351.90,96.09,1447.99,1047.85,373.94
2017-01-08,709.58,100.05,809.63,988.29,327.73
2017-01-09,673.79,100.72,774.51,945.54,299.49
2017-01-10,1434.87,136.30,1571.17,1049.81,370.12
2017-01-11,2776.16,286.17,3062.33,1337.31,832.33
2017-01-12,2234.58,268.11,2502.69,1482.98,873.82
2017-01-13,2505.58,275.14,2780.72,1627.18,924.79
2017-01-14,1112.69,386.88,1499.57,1614.42,872.84
2017-01-15,2199.57,351.77,2551.34,1699.59,874.91
2017-01-16,3307.92,400.48,3708.40,1866.99,1015.95
2017-01-17,3302.53,591.08,3893.61,2022.89,1123.42
2017-01-18,4032.36,651.02,4683.38,2212.92,1292.51
2017-01-19,3553.95,586.21,4140.16,2341.40,1341.22
2017-01-20,4035.83,620.22,4656.05,2486.07,1419.08
2017-01-21,2458.60,636.17,3094.77,2521.87,1381.93
2017-01-22,3619.27,522.60,4141.87,2611.87,1393.98
2017-01-23,6581.47,972.42,7553.89,2871.98,1766.55
2017-01-24,5955.17,828.36,6783.53,3067.56,1929.11
2017-01-25,8977.23,1362.98,10340.21,3413.87,2460.49
2017-01-26,13157.70,1953.97,15111.63,3945.59,3462.02
2017-01-27,11433.00,1323.20,12756.15,4328.66,3849.14
2017-01-28,5211.01,672.00,5883.01,4393.42,3777.88
2017-01-29,6457.66,703.00,7160.66,4504.11,3739.52
2017-01-30,10801.10,1097.00,11898.13,4788.50,3940.48
2017-01-31,11116.10,1571.41,12687.54,5081.06,4152.24
2017-02-01,8219.75,1350.74,9570.49,5241.39,4162.01
2017-02-02,8917.64,1557.66,10475.30,5421.87,4200.99
2017-02-03,10183.70,1242.25,11425.99,5622.01,4270.99
2017-02-04,13968.20,1749.05,15717.21,6122.34,4545.74
