"customer_unique_id","customer_city","customer_state","first_order_date","recent_order_date","recency_days","first_order_review_score","potential_recovery_value","total_lifetime_orders","recovery_priority"
da122df9eeddfedc1dc1f5349a1a690c,araruama,Rio de Janeiro,2017-04-01,2017-04-01,520,5.00,7571.63,2,High Priority: Lapsed Loyal
dc4802a71eae9be1dd28f5d788ceb526,campo grande,Mato Grosso do Sul,2017-02-12,2017-02-12,568,5.00,6929.31,1,Medium Priority: Lapsed One-Time
ff4159b92c40ebe40454e3e6a7c35ed6,marilia,São Paulo,2017-05-24,2017-05-24,467,5.00,6726.66,1,Medium Priority: Lapsed One-Time
eebb5dda148d3893cdaf5b5ca3040ccb,maua,São Paulo,2017-04-18,2017-04-18,503,4.00,4764.34,1,Medium Priority: Lapsed One-Time
"5e713be0853d8986528d7869a0811d2b",belem,Pará,2017-02-04,2017-02-04,576,5.00,4042.74,1,Medium Priority: Lapsed One-Time
"011875f0176909c5cf0b14a9138bb691",sao paulo,São Paulo,2017-03-18,2017-03-18,534,5.00,4016.91,1,Medium Priority: Lapsed One-Time
bc5e25094a7d51b6aee35236572e64f4,para de minas,Minas Gerais,2018-01-26,2018-01-26,220,5.00,3826.80,1,Medium Priority: Lapsed One-Time
"5d09b0d82126457e2a8ebfb9c9a1ffc4",brasilia,Distrito Federal,2017-02-10,2017-02-10,570,4.00,3736.22,1,Medium Priority: Lapsed One-Time
"931eabdf0636b8fd60369a8d759917d6",gaspar,Santa Catarina,2017-05-10,2017-05-10,481,5.00,3666.42,1,Medium Priority: Lapsed One-Time
"03796b63235e0e0a299084988c662c7e",brasilia,Distrito Federal,2017-02-21,2017-02-21,559,5.00,3602.47,1,Medium Priority: Lapsed One-Time
"59d66d72939bc9497e19d89c61a96d5f",sao paulo,São Paulo,2017-03-02,2017-08-10,389,5.00,3559.99,2,High Priority: Lapsed Loyal
"7a96eb0a685f5c19b7dad29fc802aa64",santa maria,Rio Grande do Sul,2017-12-17,2017-12-17,260,5.00,3297.40,1,Medium Priority: Lapsed One-Time
"53fb3435773a4690e56010b169ee2820",divinopolis,Minas Gerais,2018-02-09,2018-02-09,206,5.00,3155.82,1,Medium Priority: Lapsed One-Time
c6111f70f40b3420e387493c627c27fa,angra dos reis,Rio de Janeiro,2017-10-10,2017-10-10,328,5.00,3126.50,1,Medium Priority: Lapsed One-Time
"895617ab63a9ad8881d9470f7427cd25",curitiba,Paraná,2017-10-05,2017-10-05,333,5.00,3126.50,1,Medium Priority: Lapsed One-Time
"58c1b085b54c03a1f1ab5f13d64c2b1c",recife,Pernambuco,2017-09-16,2017-09-17,351,5.00,3064.72,2,High Priority: Lapsed Loyal
ff0ae98646e7bbb41cf0f0d3991fef98,eunapolis,Bahia,2017-06-05,2017-06-05,455,5.00,3048.27,1,Medium Priority: Lapsed One-Time
"0f75637a7e2f7b6ae43665d1f7d0ca5d",campo grande,Mato Grosso do Sul,2017-03-08,2017-03-08,544,5.00,3044.12,1,Medium Priority: Lapsed One-Time
"2ae8173a688e326821403a5b7a6858c2",varginha,Minas Gerais,2017-03-20,2017-03-20,532,4.00,3042.36,1,Medium Priority: Lapsed One-Time
"6172bd5b7f52ade8c6c4548b448ff54f",rio de janeiro,Rio de Janeiro,2017-07-06,2017-07-06,424,5.00,3041.73,1,Medium Priority: Lapsed One-Time
ea984b06b18cc6905bc2f9b0a3d1c986,monte alegre do sul,São Paulo,2017-03-27,2017-03-27,525,5.00,3024.08,1,Medium Priority: Lapsed One-Time
ee2bb06c1d3f368e92084edefb7e4b57,sao paulo,São Paulo,2017-01-31,2017-01-31,580,5.00,3016.01,1,Medium Priority: Lapsed One-Time
ae04948ad7210ea76801b331080e0b3a,salvador,Bahia,2017-04-05,2017-04-05,516,4.00,3009.53,1,Medium Priority: Lapsed One-Time
"81d8bf17c9e450228efeedd2603edfaa",gurupi,Tocantins,2017-06-26,2017-06-26,434,5.00,2784.16,1,Medium Priority: Lapsed One-Time
"0de97ff655abfc142ba6fc83e86bf082",sao jose do rio preto,São Paulo,2017-12-02,2017-12-02,275,5.00,2734.66,1,Medium Priority: Lapsed One-Time
fc54c2c09aee36da48881e5bf37ef795,ibotirama,Bahia,2017-12-15,2017-12-15,262,4.00,2732.06,1,Medium Priority: Lapsed One-Time
c949c73b1318491d6b5b117acb3e24a4,mogi das cruzes,São Paulo,2017-06-02,2017-06-02,458,5.00,2681.29,1,Medium Priority: Lapsed One-Time
bb149f7e7bfee3d984e265d0eae6181b,jundiai,São Paulo,2017-06-05,2017-06-05,455,4.00,2681.29,1,Medium Priority: Lapsed One-Time
"69e4e534ba5e6a8124d132b271923148",juiz de fora,Minas Gerais,2017-06-25,2017-06-25,435,5.00,2627.09,1,Medium Priority: Lapsed One-Time
"7814db11654d2bf3b43bae828b6eee05",sao paulo,São Paulo,2017-04-06,2017-04-06,515,4.00,2606.01,1,Medium Priority: Lapsed One-Time
d8f1c3ed0de527caf0a7eceeb025b583,rio de janeiro,Rio de Janeiro,2017-03-18,2017-03-18,534,5.00,2574.38,1,Medium Priority: Lapsed One-Time
"84056c11d63b679a61f195ef043505f4",paranatinga,Mato Grosso,2017-07-28,2017-07-28,402,5.00,2487.24,1,Medium Priority: Lapsed One-Time
d3ef55d6de8e4be1d4b905e8169224b5,porto velho,Rondônia,2017-11-30,2017-11-30,277,5.00,2452.12,1,Medium Priority: Lapsed One-Time
d77aa95864ae5b42160937615628723a,riachao do jacuipe,Bahia,2017-08-29,2017-08-29,370,5.00,2450.10,2,High Priority: Lapsed Loyal
"24c0598e5978021ede868fbf7526544a",barra mansa,Rio de Janeiro,2017-11-24,2017-11-24,283,4.00,2429.68,1,Medium Priority: Lapsed One-Time
"98133dfcdb0c24fa03c9eb4f0d69a6c4",araguari,Minas Gerais,2017-11-25,2017-11-25,282,5.00,2416.00,1,Medium Priority: Lapsed One-Time
"86df00dc5fd68f4dd5d5945ca19f3ed6",porto alegre,Rio Grande do Sul,2017-06-08,2017-10-13,325,5.00,2400.48,3,High Priority: Lapsed Loyal
e3e0e9112264452e4700d977ce02a4d1,sao paulo,São Paulo,2018-02-27,2018-02-27,188,5.00,2384.50,1,Medium Priority: Lapsed One-Time
"8bce6306eb006a2ff6135ba36d33d644",pianco,Paraíba,2017-03-31,2017-03-31,521,5.00,2324.99,1,Medium Priority: Lapsed One-Time
"352edc42ddf92161e32abb07872de623",nova friburgo,Rio de Janeiro,2017-12-22,2017-12-22,255,5.00,2315.83,1,Medium Priority: Lapsed One-Time
ec4b05ce75316354ba9b297f64377ed6,curitiba,Paraná,2017-05-06,2017-05-06,485,5.00,2288.31,1,Medium Priority: Lapsed One-Time
"03adb96012772d4374285b6a701f3da9",sao sebastiao,Alagoas,2017-08-13,2017-08-13,386,5.00,2269.98,1,Medium Priority: Lapsed One-Time
bd8717655febcdf30f106e9f3cb24628,quarai,Rio Grande do Sul,2017-01-30,2017-01-30,581,4.00,2217.99,1,Medium Priority: Lapsed One-Time
"25d6024f1eadd97cf86cfcfb7e9617dd",itapiranga,Santa Catarina,2017-03-13,2017-03-13,539,4.00,2190.40,1,Medium Priority: Lapsed One-Time
"669e44130af1f9e6d3523ab852672374",campos dos goytacazes,Rio de Janeiro,2017-03-23,2017-03-23,529,4.00,2168.60,1,Medium Priority: Lapsed One-Time
"1da09dd64e235e7c2f29a4faff33535c",niteroi,Rio de Janeiro,2017-05-10,2018-01-11,235,5.00,2164.40,3,High Priority: Lapsed Loyal
"60055ae4e5bdcbf7d567809728def6ed",sao paulo,São Paulo,2017-09-09,2017-09-09,359,5.00,2154.82,1,Medium Priority: Lapsed One-Time
c77dde0ffa573d733a5afe93774246ec,rio de janeiro,Rio de Janeiro,2018-01-07,2018-01-07,239,5.00,2152.92,1,Medium Priority: Lapsed One-Time
"46e8adbe1802b0aa1d172eb1a4eba9fe",taquara,Rio Grande do Sul,2017-11-16,2017-11-16,291,5.00,2150.22,1,Medium Priority: Lapsed One-Time
"2621b577faf30c524ef1f0fff766a575",valente,Bahia,2017-04-03,2017-04-03,518,5.00,2111.57,1,Medium Priority: Lapsed One-Time
af17def00ed5fb1ccbebfe805b0bb641,engenheiro navarro,Minas Gerais,2017-11-23,2017-11-23,284,5.00,2106.55,1,Medium Priority: Lapsed One-Time
ea1c9b1a4cc63f26f5a165203a4ebd4f,cruzeiro do sul,Rio Grande do Sul,2018-01-28,2018-01-28,218,5.00,2096.14,1,Medium Priority: Lapsed One-Time
"44975ad30406e58b8c7f2a8dae4c46f8",catole do rocha,Paraíba,2017-10-18,2017-10-18,320,5.00,2083.09,1,Medium Priority: Lapsed One-Time
"73601b1eec55943e90ce8d61253d5c09",belo horizonte,Minas Gerais,2017-09-26,2017-11-01,306,4.00,2068.68,2,High Priority: Lapsed Loyal
fffcf5a5ff07b0908bd4e2dbc735a684,sanharo,Pernambuco,2017-06-08,2017-06-08,452,5.00,2067.42,1,Medium Priority: Lapsed One-Time
"5e5a9e721cb83187f5893a8c7109faee",agrestina,Pernambuco,2017-10-26,2017-10-26,312,4.00,2066.34,1,Medium Priority: Lapsed One-Time
"3d60952351a48ae05804341ab1e3f7fa",catanduva,São Paulo,2018-01-11,2018-01-11,235,5.00,2060.20,1,Medium Priority: Lapsed One-Time
"26745aefcbade7bf038c84f9529ba5b1",sao bernardo do campo,São Paulo,2017-10-28,2017-10-28,310,4.00,2039.31,1,Medium Priority: Lapsed One-Time
"6d394722d5fc5e721aee6875a218d8db",rio de janeiro,Rio de Janeiro,2017-11-04,2017-11-04,303,4.00,2039.20,1,Medium Priority: Lapsed One-Time
"82c0c03a1fb8968a30707374c8566fba",florianopolis,Santa Catarina,2017-11-28,2017-11-28,279,4.00,2032.04,1,Medium Priority: Lapsed One-Time
